ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
44,0.000,0.000,0.000,0.000,{method 'getrandbits' of '_random.Random' objects}
34/1,0.000,0.000,4.265,4.265,quickSelect.py:4(qs)
33,0.000,0.000,0.000,0.000,{method 'bit_length' of 'int' objects}
33,0.287,0.009,0.287,0.009,{built-in method builtins.eval}
33,0.000,0.000,0.000,0.000,random.py:237(_randbelow_with_getrandbits)
33,0.000,0.000,0.000,0.000,random.py:290(randrange)
33,0.000,0.000,0.000,0.000,random.py:334(randint)
33,3.977,0.121,3.977,0.121,quickSelect.py:38(partition)
33,0.000,0.000,0.000,0.000,quickSelect.py:67(default)
1,0.000,0.000,0.000,0.000,{built-in method builtins.len}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,<string>:1(<module>)


