ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
12764384,0.537,0.000,0.537,0.000,quickSelect.py:107(totalOperations)
83,0.000,0.000,0.000,0.000,{method 'getrandbits' of '_random.Random' objects}
63,0.000,0.000,0.000,0.000,{method 'bit_length' of 'int' objects}
63,0.000,0.000,0.000,0.000,random.py:237(_randbelow_with_getrandbits)
54,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
43,0.000,0.000,0.000,0.000,{built-in method builtins.len}
42,0.000,0.000,0.000,0.000,{built-in method builtins.isinstance}
42,0.000,0.000,0.000,0.000,{built-in method _abc._abc_instancecheck}
42,0.000,0.000,0.000,0.000,abc.py:117(__instancecheck__)
21,0.000,0.000,0.000,0.000,{method 'copy' of 'dict' objects}
21,0.001,0.000,0.001,0.000,{built-in method builtins.eval}
21,0.000,0.000,0.000,0.000,{built-in method builtins.sorted}
21,0.000,0.000,0.000,0.000,{built-in method _abc._abc_subclasscheck}
21,0.000,0.000,0.000,0.000,abc.py:121(__subclasscheck__)
21,0.000,0.000,0.000,0.000,_collections_abc.py:315(__subclasshook__)
21,0.000,0.000,0.000,0.000,random.py:374(sample)
21,2.601,0.124,3.137,0.149,quickSelect.py:38(partition)
21,0.000,0.000,0.001,0.000,quickSelect.py:71(dynamic)
21/1,0.000,0.000,3.139,3.139,quickSelect.py:4(qs)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,<string>:1(<module>)


